"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",23
"Votos a candidaturas 2007","PP 2007",1
"Votos a candidaturas 2007","PAR 2007",1
"Votos a candidaturas 2007","CHA 2007",29
"PSOE 2007","Votos a candidaturas 2011",23
"PP 2007","Votos a candidaturas 2011",1
"PAR 2007","Votos a candidaturas 2011",1
"CHA 2007","Votos a candidaturas 2011",29
"Votos a candidaturas 2011","PSOE 2011",19
"Votos a candidaturas 2011","PP 2011",1
"Votos a candidaturas 2011","PAR 2011",1
"Votos a candidaturas 2011","CHA 2011",29
