"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",3
"Votos a candidaturas 2007","PP 2007",19
"Votos a candidaturas 2007","PAR 2007",3
"PSOE 2007","Votos a candidaturas 2011",3
"PP 2007","Votos a candidaturas 2011",19
"PAR 2007","Votos a candidaturas 2011",3
"Votos a candidaturas 2011","PSOE 2011",5
"Votos a candidaturas 2011","PP 2011",11
"Votos a candidaturas 2011","PAR 2011",5
